Seqid_1,n14k2,wt2,RelativeDelta
126,0.015683834421556964,0.013576345657335327,0.13437331124364307
127,0.015339862105752404,0.015780294760352493,-0.02791029326693328
128,0.020209520364701906,0.01844375875126016,0.08737276202387458
129,0.03600739793152239,0.025580193720691726,0.2895850522345646
130,0.01777646998694562,0.01497855288204693,0.15739441559282444
131,0.018872234879076875,0.01579939863154876,0.1628231244056253
132,0.03058438681093081,0.026778454445306483,0.12444036851718385
133,0.030988161423889816,0.029537496769487807,0.04681351160393927
134,0.015080526939673017,0.01348780760620149,0.10561430246057846
135,0.022004058724113724,0.018039281493551374,0.18018390517279637
136,0.03852895145817951,0.03384985336399197,0.12144369148655329
137,0.02320323823837762,0.020220636876846342,0.1285424616551204
138,0.021672818095600375,0.018292047165360845,0.15599129357920613
139,0.026909534156479026,0.022201133558695657,0.17497146440380593
140,0.02691931322390154,0.02396339642029099,0.10980654591834102
141,0.02248357518786293,0.02147096575944517,0.04503774065987439
142,0.02399449031720376,0.02238612799645506,0.06703048489408937
143,0.038229344920226956,0.03629423469991524,0.05061845093997046
144,0.024824182832449027,0.024939445465152116,-0.004621699903638423
145,0.024450177767631528,0.024743727665602424,-0.011863608504670681
146,0.03457560336601107,0.03429599431564358,0.008086888532576114
147,0.0570919504108054,0.05097306007538422,0.10717606057233418
148,0.02710464597569742,0.02622825316099468,0.03233367502709798
149,0.028215921798058794,0.027397153624338883,0.029017948787207114
150,0.036495113984558736,0.0359949303594797,0.013705495625816338
151,0.02892267015760421,0.02863202886110221,0.01004890955497011
152,0.02407932424359432,0.023351164965046006,0.03024002132211095
153,0.02362357311079413,0.022730526001176424,0.037803219073987246
154,0.02853558825074161,0.02839448926154418,0.00494466726803016
155,0.01577570383863068,0.016676240645002654,-0.054001188010070825
156,0.015476040300156957,0.014959146493191085,0.03339961624167065
157,0.023355861750265883,0.02279567463076052,0.023984861937238817
158,0.028923540595106528,0.029214413973415402,-0.009956502244870082
159,0.014717076924332493,0.013843264749634593,0.059374030535451094
160,0.01557659132371343,0.014962023122480765,0.039454601360508275
161,0.029828337713011743,0.029755117867723547,0.0024547075332413317
162,0.025450177043673024,0.025219240013456348,0.00907408344627168
163,0.029421418046618988,0.030971950938800005,-0.05006248703043734
164,0.0235316905561625,0.025092294107576237,-0.062194534494258845
165,0.04760426264879888,0.04605314829278729,0.03258351814951858
166,0.02981584254485527,0.025044049518291006,0.1600421996925134
167,0.026469214621593507,0.022568284981403886,0.1473761007252272
168,0.021378985081099495,0.018101106510170707,0.15332245934474506
169,0.022686425569938846,0.017653035672093278,0.2218679131416442
170,0.013504436065261137,0.01286063557612246,0.04767325981088483
171,0.010116384702423565,0.012153870538821046,-0.16764090335580636
172,0.008328104577846012,0.00919357095610546,-0.09413821706403336
173,0.007363248502945741,0.010283111088854121,-0.2839473930290633
174,0.007995941287745391,0.010239620468738189,-0.21911741629905176
175,0.006437906356333778,0.007874660493094213,-0.18245283565182474
176,0.007183043923655734,0.007454133217962636,-0.03636764817318296
177,0.008216209630134362,0.008549786748296371,-0.03901584074345223
178,0.013733557132970678,0.01312201461015808,0.04452906970070011
179,0.019104767398497268,0.019709471698837123,-0.03068089848270935
180,0.026739293165153014,0.023123976250694313,0.13520615119214247
181,0.04137396518997081,0.039317631191199354,0.04970115842969572
182,0.03668078465704464,0.03301000618400405,0.1000736082218898
183,0.048659961368210686,0.045175319601549795,0.07161209480403309
184,0.12038064248579607,0.12159930338169529,-0.01002193978096979
185,0.02848390466426057,0.02859853136946797,-0.004008132575988691
186,0.02632609204458239,0.025943905711958204,0.014517397112224805
187,0.08956203207728443,0.08987554981871819,-0.0034883540859125314
188,0.10377203879961545,0.10540668970171518,-0.015508037551748772
189,0.04662959740683604,0.04543218665934825,0.025679199780357653
190,0.03786615837016549,0.036382967001823474,0.039169311918122
191,0.0492729005025287,0.047610405444208866,0.033740555992528086
192,0.043437950415217225,0.04216088402500814,0.029399784704429895
193,0.035574478311546365,0.03479386095545863,0.021943184921825516
194,0.045129503032920175,0.04337187895552419,0.03894623160627025
195,0.04309058652201514,0.04251073583618251,0.013456551247831792
196,0.036217969575380864,0.034345352549153815,0.051704086346683505
197,0.03205563766618446,0.030121151526244797,0.0603477665952144
198,0.03679492364924874,0.03475251015646523,0.0555080236679662
199,0.032628886301556824,0.031925166596274916,0.02156738353795211
200,0.02448154307572066,0.023795653092751157,0.02801661565400785
201,0.027150624609423527,0.025641368140166983,0.055588278021887795
202,0.027498661021757523,0.025805175827017867,0.06158427835448915
203,0.027437267118632615,0.02649330525005021,0.034404369228936825
204,0.02375098008723549,0.023081243150856984,0.028198286298864943
205,0.02636396757662049,0.02426261391558196,0.07970551681689995
206,0.025920609206082083,0.023217338067920174,0.10429041681349087
207,0.021842504865880224,0.020311625767700084,0.0700871583904966
208,0.024006334591210515,0.022208285722782953,0.07489893392912575
209,0.04929676089995639,0.04503404541812794,0.08647049834530252
210,0.021141699900781106,0.01828506076182376,0.13511870627071973
211,0.013979851750725912,0.011486450809990827,0.17835675121559239
212,0.018596535635522448,0.0153383965587221,0.1752013999089575
213,0.013003223707061336,0.010523293227441546,0.19071658963100635
214,0.0056471970387460034,0.005077682014961243,0.10084915045061447
215,0.006244800504725294,0.005794668396245344,0.07208110301351424
216,0.009186598446522946,0.009013934682847932,0.018795179160178237
217,0.007920048292386198,0.007196810703188626,0.09131732061442652
218,0.005105099612292289,0.005050887966198244,0.010619116219301878
219,0.005635219953585349,0.006119610439314708,-0.07915381061144841
220,0.005060648596070898,0.0064793456825252465,-0.21895684471358967
221,0.006451882767361299,0.01076363307587732,-0.40058503277849605
222,0.00348810694485825,0.006615418191883867,-0.47273069612777646
223,0.002954972133985424,0.00711294129750091,-0.5845639644146037
224,0.002472584991512415,0.0038107415571403953,-0.35115384907711805
225,0.0025100445808370936,0.00413574899766642,-0.3930858516188056
226,0.002866079532453166,0.007555704896914667,-0.6206734419149279
